code,clinic,clinic_type,area,"Lat, Long",,,,,,,
FWT,WESTIN HOTEL,Commercial,CT,"-33.915674338006994, 18.426189013491115",,,,,,,
FWX,LAGOONA ,Commercial,CT,"-33.92561927081139, 18.546652697311668",,,,,,,
FWY,VITAFOAM,Commercial,CT,"-33.93414696571986, 18.562426381966908",,,,,,,
FWZ,MAVERICK TELECOM,Commercial,CT,"-33.875528819898314, 18.51697965498236",,,,,,,
FXA,REGENT LIGHTING SOLUTIONS,Commercial,CT,"-33.88882101573299, 18.493737813491116",,,,,,,
FXB,BOLLORE LOGISTICS,Commercial,CT,"-33.98152577249654, 18.590378857672583",,,,,,,
HAC,MET LIFE,Commercial,CT,"-33.88420940323679, 18.634624414999738",,,,,,,
HAD,BELLVILLE,Residential,CT,"-33.89422672786246, 18.629065790906647",,,,,,,
HAG,SPAR EERSTE RIVER,Shopping,CT,"-34.000857355502504, 18.72653629731449",,,,,,,
HAH,BRACKENFELL,Residential,CT,"-33.88165283548821, 18.695013870999787",,,,,,,
HAI,DURBANVILLE HIGH,School,CT,"-33.83079798725337, 18.64355236847175",,,,,,,
HAN,MALIBU SECONDARY,School,CT,"-33.99499700582066, 18.695693381628082",,,,,,,
HAO,RAVENSMEAD,Residential,CT,"-33.9226693606543, 18.602910278103266",,,,,,,
HAP,MEDICLINIC PANORAMA,Hospital,CT,"-33.8760988588652, 18.576200546978754",,,,,,,
HAQ,FAIRMONT HIGH ,School,CT,"-33.85365377424365, 18.64063459730906",,,,,,,
HAR,DURBANVILLE,Residential,CT,"-33.82749034358483, 18.652138293178904",,,,,,,
HAT,ELSIES RIVER,Residential,CT,"-33.930868672414306, 18.57707329304869",,,,,,,
HAU,MEDICLINIC D/VILLE,Hospital,CT,"-33.82542469848555, 18.654878795009008",,,,,,,
HAW,EERSTE RIVER,Residential,CT,"-33.99809451874224, 18.739232191724913",,,,,,,
HBD,BOLTON FOOTWEAR,Commercial,CT,"-33.90983737895522, 18.576077585035428",,,,,,,
HBF,MARIAN HIGH,School,CT,"-33.93909706343924, 18.587628954984734",,,,,,,
HBG,KRAAIFONTEIN,Residential,CT,"-33.847247388606725, 18.717073117491342",,,,,,,
HBH,KUILSRIVER,Residential,CT,"-33.922643774792334, 18.689639491368567",,,,,,,
HBK,EBEN DONGES HIGH,School,CT,"-33.84568945225674, 18.728349562354794",,,,,,,
HBL,LA ROCHELLE,Residential,CT,"-33.880873190636805, 18.654693280371287",,,,,,,
HBU,CPUT BELLVILLE,Tertiary,CT,"-33.930285925957286, 18.639116641493338",,,,,,,
HBY,PROTEA HEIGHTS,Residential,CT,"-33.88626918229296, 18.697724414086352",,,,,,,
HBZ,SETTLERS HIGH SCHOOL,School,CT,"-33.89690523131342, 18.607800157942574",,,,,,,
HCB,PAROW NORTHLINK COLLEGE,Tertiary,CT,"-33.91156597711827, 18.585272887122926",,,,,,,
HCE,TYGERBERG HOSPITAL,Hospital,CT,"-33.91042677777704, 18.612886885936",,,,,,,
HCG,EDGEMEAD HIGH,School,CT,"-33.872432162099365, 18.551200235928953",,,,,,,
HCK,WINDSOR PARK,Residential,CT,"-33.84046234731383, 18.71012068507826",,,,,,,
HCN,TYGERBERG MEDICAL SCHOOL,Tertiary,CT,"-33.90786807939005, 18.6124861824786",,,,,,,
HCP,SHOPRITE HQ,Commercial,CT,"-33.88439985113129, 18.679234340395617",,,,,,,
HCQ,TYGERVALLEY,Shopping,CT,"-33.87359228354123, 18.63398894232741",,,,,,,
HCR,TYGERBERG HIGH,School,CT,"-33.893246438603946, 18.594482083819432",,,,,,,
HCS,UNIVERSITY OF WESTERN CAPE,Tertiary,CT,"-33.93336004490887, 18.62790435313046",,,,,,,
HCT,KENRIDGE,Residential,CT,"-33.85676836593349, 18.636632815005893",,,,,,,
